assists,damage_received,headshots,tier,traded,kills,matches,deaths,damage
2948,1155937,4055,immortal,1213,5847,393,5937,1104573
2947,1582416,5005,immortal,1888,9097,520,8273,1699229
2933,1390578,4177,immortal,1628,7115,479,7354,1379394
2894,1458883,5112,immortal,1879,7156,454,7593,1358400
2887,1636930,6598,immortal,2015,8600,543,8746,1602879
2865,1239810,3982,immortal,1571,5923,418,6529,1186908
2853,1501378,5720,immortal,1762,8068,444,7535,1501538
2836,1692057,6608,immortal,1737,9335,577,8983,1755084
2816,1482223,5210,immortal,1651,7332,488,7870,1415885
2812,1716596,6052,immortal,2059,8485,499,8586,1607362
2809,1141913,4195,immortal,1275,5866,373,5972,1146662
2804,1256748,4398,immortal,1370,6854,409,6486,1287616
2784,1400711,4532,immortal,1832,6879,439,7230,1304528
2777,1638546,4924,immortal,1867,7013,529,8274,1395727
2774,1216706,3814,immortal,1196,6224,431,6455,1181600
2761,1372570,5160,immortal,1681,7536,433,7091,1423967
2759,1423258,5769,immortal,1616,8597,468,7386,1620886
2756,1537374,6066,immortal,1694,8562,493,7845,1618913
2738,2029003,9168,ascendant,2101,11808,651,10643,2166029
2718,1097678,3849,immortal,1360,5646,351,5812,1099939
2698,1605417,5818,ascendant,1799,8613,515,8174,1639695
2687,1396222,5329,immortal,1391,7903,478,7259,1501656
2681,1575843,5976,immortal,1883,8993,505,8057,1685056
2678,1407259,4586,immortal,1458,7722,477,7440,1470038
2658,1573985,5950,immortal,1926,7848,499,8198,1496700
2651,1279558,3625,immortal,1419,5524,389,6741,1073740
2649,1234186,4335,immortal,1615,6782,390,6420,1255311
2649,1145948,4588,immortal,1187,6878,379,5995,1285742
2644,1315765,5673,immortal,1435,7831,437,6799,1431730
2639,1234089,3984,immortal,1388,6099,371,6158,1139304
2632,1322270,4121,immortal,1486,7611,442,6876,1414701
2620,1579847,5563,immortal,1830,7286,480,7950,1338316
2612,1478372,4864,immortal,2028,6643,485,7946,1322409
2609,1537836,5950,immortal,1687,8560,493,7990,1606109
2605,1093742,3810,immortal,1264,6263,399,5814,1208225
2595,1354687,4863,immortal,1392,7055,437,6947,1347838
2594,1205777,4958,immortal,1354,5958,355,6136,1128004
2592,1167978,4513,immortal,1431,6214,370,6113,1211294
2589,1310110,5139,immortal,1404,7610,450,6748,1446198
2587,1527489,5104,immortal,1783,7607,484,7608,1399139
2565,1425871,5694,immortal,1677,8201,463,7466,1520070
2553,1309044,4451,immortal,1566,6683,418,6843,1257292
2552,1441853,5505,ascendant,1518,7589,502,7564,1403342
2551,1227369,4508,immortal,1375,6301,357,6234,1156044
2548,1347282,4065,immortal,1526,6710,420,7172,1274810
2545,1066751,3993,immortal,1233,5956,353,5529,1124539
2542,1571435,5592,immortal,1700,7898,463,7813,1496140
2542,1611167,6495,immortal,1954,9195,518,8299,1687189
2537,1699195,7145,immortal,2255,9603,524,9000,1766834
2532,1312268,4816,immortal,1364,7831,428,6734,1439300
2529,1812159,6122,immortal,1476,9423,625,9501,1770819
2529,1504820,5546,immortal,1703,7807,470,7840,1477265
2527,1693505,5375,immortal,1888,9042,545,8867,1679594
2523,1382379,5403,immortal,1698,7436,453,7349,1388384
2520,1484652,4661,immortal,1361,7507,487,7767,1485772
2514,1328886,5526,immortal,1532,7203,454,6877,1339261
2514,1369209,6058,immortal,1680,7653,425,7284,1443738
2510,1557445,6780,immortal,1802,8405,495,8122,1584565
2510,1586852,4435,immortal,1884,8195,486,8356,1504545
2502,1159479,3169,immortal,1384,5783,388,6148,1119166
2496,1322976,5689,immortal,1604,7291,419,7031,1388308
2494,1262562,4155,immortal,1324,6653,413,6631,1270417
2493,1279558,4251,immortal,1376,6197,413,6562,1218512
2480,1038604,3468,immortal,1257,4950,350,5423,926476
2477,1428595,4876,immortal,1749,6942,475,7536,1317472
2472,1296065,5073,immortal,1367,6793,421,6819,1276206
2467,1690885,7824,immortal,2074,9472,535,8844,1750699
2465,1593692,6272,immortal,1788,8224,480,8069,1583231
2462,1404557,4837,immortal,1679,6889,459,7460,1312505
2457,1199366,4170,immortal,1594,6073,372,6391,1143262
2457,1554637,5758,immortal,1463,8759,512,8148,1652301
2444,1377278,5214,immortal,1441,7247,456,7225,1371363
2438,1118948,3975,immortal,1158,6166,367,5789,1163453
2438,1066453,4495,immortal,1365,6103,337,5576,1116325
2435,1055603,4123,immortal,1270,5894,356,5529,1115403
2430,1790885,6901,immortal,2087,9207,542,9379,1718004
2429,1256561,5282,immortal,1574,6746,408,6630,1288030
2419,1522938,6081,ascendant,1439,8734,467,7412,1632540
2418,1530211,5152,immortal,1593,8072,464,7866,1515493
2414,1143921,3839,ascendant,1123,5903,375,5926,1190069
2414,1403999,5915,ascendant,1549,7788,466,7262,1446258
2402,1211441,4230,immortal,1472,6124,381,6300,1154256
2399,1271333,4234,immortal,1543,6410,395,6544,1170491
2396,1637984,8092,immortal,1717,11100,487,8235,2023975
2394,1371646,4611,immortal,1528,7200,463,7209,1374297
2393,1705929,5759,immortal,1947,9272,539,8740,1706986
2390,1378659,5038,immortal,1503,7340,433,7279,1461072
2372,1424085,5493,immortal,1340,7747,500,7408,1486152
2370,1385758,5061,immortal,1587,7539,464,7313,1455832
2368,1355792,4190,immortal,1463,6598,416,6941,1278757
2366,1591022,6091,immortal,1930,8294,507,8334,1534627
2360,1454241,5568,immortal,1830,7184,447,7638,1350297
2359,1577271,6149,immortal,1382,8816,560,8376,1670221
2358,1136589,4439,immortal,1256,6115,359,5905,1148388
2356,1186636,4606,ascendant,1263,6188,365,5868,1151083
2352,1882907,7599,immortal,1914,10542,595,9722,2015715
2352,1003148,3349,immortal,1066,5478,351,5247,1061621
2343,1276404,4448,immortal,1591,6966,419,6694,1324537
2336,1425768,6276,immortal,1652,7667,486,7472,1441064
2324,1653215,6204,immortal,2016,9089,507,8782,1703145
2323,1275273,5349,immortal,1332,7450,450,6736,1418920
2318,1327985,4456,immortal,1468,6810,436,6921,1298729
2306,1329106,4438,immortal,1564,7063,427,7003,1381535
2294,1312586,5400,immortal,1289,8511,442,6785,1572019
2293,1288878,5152,immortal,1479,7159,438,6917,1347821
2292,1570594,6717,immortal,1748,8290,529,8221,1540033
2290,1210632,3566,immortal,1530,5847,393,6147,1105433
2290,1559237,6298,immortal,1797,8323,519,8130,1530453
2289,1140260,5639,immortal,1396,6864,379,5934,1267791
2288,1135367,4646,immortal,1333,6067,371,5816,1148789
2285,952168,3715,immortal,1077,4982,315,5059,948505
2283,1098984,4302,immortal,1253,5650,360,5748,1053226
2276,1090168,3778,immortal,1189,5384,387,5819,1056494
2275,1111790,4324,immortal,1215,6266,382,5743,1179432
2274,1063130,4202,immortal,1013,5872,347,5517,1140679
2269,1248067,5382,immortal,1461,7269,417,6483,1344416
2265,1125836,3918,immortal,1258,5851,380,5862,1110769
2261,1413502,4747,immortal,1791,7425,447,7369,1380100
2259,1178953,4911,immortal,1436,5982,367,6109,1109743
2257,1269903,4257,immortal,1318,6378,426,6624,1236779
2249,963749,3669,immortal,1142,4649,277,4885,896848
2241,903129,3922,immortal,1073,4937,285,4702,898062
2240,1046685,3982,immortal,1293,5727,317,5433,1088560
2234,1351496,4642,immortal,1519,7609,458,7125,1437870
2233,975905,3343,immortal,1126,4683,361,5139,906804
2232,963095,3782,immortal,1193,5045,299,5039,957533
2231,1268777,4322,immortal,1229,5945,439,6778,1120842
2230,1436348,5556,immortal,1547,7557,444,7262,1393225
2228,1255256,4084,immortal,1407,6409,418,6570,1217123
2226,1394912,5224,immortal,1257,7780,489,7256,1464773
2221,1041439,4597,immortal,1105,5685,353,5483,1074251
2219,1403085,5651,immortal,1618,7770,480,7207,1454820
2216,1136634,3075,immortal,1214,5678,376,5908,1072689
2214,1443727,4661,immortal,1676,7449,458,7497,1332450
2210,960288,4126,immortal,1068,5511,343,5031,1051681
2208,1068593,3679,immortal,1226,5708,365,5673,1069769
